"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-01","15.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-02","14.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-03","12.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-04","6.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-05","6.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-06","10.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-07","12.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-08","12.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-09","6.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-10","8.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-11","11.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-12","11.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-13","14.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-14","13.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-15","12.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-16","12.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-17","17.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-18","13.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-19","11.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-20","11.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-21","15.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-22","15.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-23","10.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-24","15.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-25","15.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-26","8.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-27","9.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-28","11.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-29","15.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04-30","18.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-01","16.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-02","17.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-03","15.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-04","15.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-05","15.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-06","16.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-07","16.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-08","13.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-09","13.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-10","13.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-11","12.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-12","13.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-13","12.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-14","15.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-15","20.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-16","23.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-17","17.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-18","21.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-19","23.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-20","20.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-21","21.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-22","16.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-23","17.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-24","20.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-25","17.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05-26","20.6",",,W"
