datetime,Temperature,Weather
2012-10-02 11:00:00,289.912209521,sunny
2012-10-03 11:00:00,289.56,cloudy
2012-10-04 11:00:00,290.63,foggy
2012-10-05 11:00:00,292.34,rainy 
2012-10-06 11:00:00,287.87,foggy
2012-10-07 11:00:00,288.06,foggy
2012-10-08 11:00:00,281.27,cloudy
2012-10-09 11:00:00,278.35,foggy
2012-10-10 11:00:00,283.98,cloudy
2012-10-11 11:00:00,285.17,rainy 
2012-10-12 11:00:00,280.92,sunny
2012-10-13 11:00:00,278.52,sunny
2012-10-14 11:00:00,272.82,sunny
2012-10-15 11:00:00,284.99,cloudy
2012-10-16 11:00:00,289.52,cloudy
2012-10-17 11:00:00,283.87,sunny
2012-10-18 11:00:00,276.34,foggy
2012-10-19 11:00:00,278.21,sunny
2012-10-20 11:00:00,290.74,rainy 
2012-10-21 11:00:00,288.235,sunny
2012-10-22 11:00:00,281.93,sunny
2012-10-23 11:00:00,282.55,sunny
2012-10-24 11:00:00,281.34,cloudy
2012-10-25 11:00:00,286.34,foggy
2012-10-26 11:00:00,286.08,foggy
2012-10-27 11:00:00,287.65,cloudy
2012-10-28 11:00:00,288.69,foggy
2012-10-29 11:00:00,286.9,cloudy
2012-10-30 11:00:00,285.29,rainy 
2012-10-31 11:00:00,285.9,rainy 
2012-11-01 11:00:00,280.91,cloudy
2012-11-02 11:00:00,278.16,sunny
2012-11-03 11:00:00,281.49,cloudy
2012-11-04 11:00:00,279.12,sunny
2012-11-05 11:00:00,277.19,snowy 
2012-11-06 11:00:00,276.69,sunny
2012-11-07 11:00:00,270.84,snowy 
2012-11-08 11:00:00,276.33,cloudy
2012-11-09 11:00:00,276.03,cloudy
2012-11-10 11:00:00,276.23,sunny
2012-11-11 11:00:00,276.61,sunny
2012-11-12 11:00:00,283.19,sunny
2012-11-13 11:00:00,280.22,foggy
2012-11-14 11:00:00,283.54,rainy 
2012-11-15 11:00:00,274.59,sunny
2012-11-16 11:00:00,277.56,cloudy
2012-11-17 11:00:00,274.68,cloudy
2012-11-18 11:00:00,273.94,sunny
2012-11-19 11:00:00,274.37,sunny
2012-11-20 11:00:00,274.6,sunny
2012-11-21 11:00:00,274.02,cloudy
2012-11-22 11:00:00,274.54,sunny
2012-11-23 11:00:00,273.99,sunny
2012-11-24 11:00:00,273.76,foggy
2012-11-25 11:00:00,277.65,sunny
2012-11-26 11:00:00,274.19,cloudy
2012-11-27 11:00:00,274.92,cloudy
2012-11-28 11:00:00,276.07,snowy 
2012-11-29 11:00:00,273.95,foggy
2012-11-30 11:00:00,273.97,sunny
2012-12-01 11:00:00,272.04,cloudy
2012-12-02 11:00:00,275.58,cloudy
2012-12-03 11:00:00,277.64,foggy
2012-12-04 11:00:00,279.82,foggy
2012-12-05 11:00:00,281.1,foggy
2012-12-06 11:00:00,284.77,rainy 
2012-12-07 11:00:00,270.91,sunny
2012-12-08 11:00:00,271.65,cloudy
2012-12-09 11:00:00,281.88,rainy 
2012-12-10 11:00:00,279.65,foggy
2012-12-11 11:00:00,280.99,foggy
2012-12-12 11:00:00,279.64,rainy 
2012-12-13 11:00:00,273.76,cloudy
2012-12-14 11:00:00,272.81,cloudy
2012-12-15 11:00:00,269.79,sunny
2012-12-16 11:00:00,271.27,cloudy
2012-12-17 11:00:00,279.66,cloudy
2012-12-18 11:00:00,277.6,rainy 
2012-12-19 11:00:00,280.67,foggy
2012-12-20 11:00:00,277.96,cloudy
2012-12-21 11:00:00,272.69,sunny
2012-12-22 11:00:00,285.42,rainy 
2012-12-23 11:00:00,275.59,rainy 
2012-12-24 11:00:00,274.84,sunny
2012-12-25 11:00:00,270.87,sunny
2012-12-26 11:00:00,274.85,rainy 
2012-12-27 11:00:00,270.38,sunny
2012-12-28 11:00:00,276.66,rainy 
2012-12-29 11:00:00,272.1,cloudy
2012-12-30 11:00:00,271.94,cloudy
2012-12-31 11:00:00,271.85,sunny
2013-01-01 11:00:00,271.34,cloudy
2013-01-02 11:00:00,276.73,cloudy
2013-01-03 11:00:00,268.0,cloudy
2013-01-04 11:00:00,269.07,cloudy
2013-01-05 11:00:00,273.61,cloudy
2013-01-06 11:00:00,273.09,cloudy
